id,documentation,thriller,sport,history,scifi,european,romance,horror,war,action,crime,reality,animation,family,drama,fantasy,comedy,western,music
tm190835,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0
tm192769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm187791,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm113576,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
tm65686,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ts8570,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tm191387,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ts27693,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tm19494,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm191772,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
tm12499,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm186589,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
tm189764,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm10739,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm1822,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
tm55369,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ts251477,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tm192431,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
ts22286,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
tm192199,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
ts11397,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
tm56033,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ts21581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tm117488,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
tm190811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
tm191431,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
tm10811,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tm49839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ts20918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts21693,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
ts20939,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
ts21684,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ts22080,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
tm67635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm320211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm7073,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ts28516,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm117873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm55100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tm64817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts22039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm188606,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
tm41525,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tm189171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
tm63514,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
tm21911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
tm188970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm12876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ts224786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm62176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tm52871,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
tm8687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm104933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm184326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm62385,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
tm191614,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm110766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm9898,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
tm47530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm57169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm192301,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm58893,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
tm110160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tm118438,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
tm424630,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm27601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm203186,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm128073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm7951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm7135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm52083,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
tm340430,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm7032,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
