id,imdb_id,imdb_score,imdb_votes,tmdb_score,tmdb_popularity
ts21465,tt0460681,8.4,444514,0.0,388.093
tm74402,tt0884328,7.1,312649,7.2,37.369
tm91952,tt0377092,7.1,385256,6.0,57.235
ts288536,tt1877368,8.6,10566,7.7,5.581
ts12724,tt0496424,8.3,124480,0.0,48.88
ts6644,tt1526318,8.5,26860,0.0,51.118
ts8308,tt1439629,8.5,264768,6.5,42.357
tm111828,tt0264464,8.1,976145,8.0,72.321
ts21469,tt0413573,7.6,307856,0.0,803.786
ts17156,tt0367279,8.7,304789,0.0,30.131
ts22011,tt1094229,8.5,17050,0.0,74.638
ts26091,tt8178674,7.8,24920,0.0,10.922
tm150112,tt0302886,7.0,233304,6.577,17.131
ts22337,tt0364845,7.8,147706,0.0,251.622
ts3371,tt0417299,9.3,313560,8.1,56.915
tm80906,tt0357413,7.1,358376,3.5,20.606
ts20604,tt0758745,8.7,66895,0.0,19.681
ts20573,tt0487831,8.5,152684,9.0,31.031
tm92641,tt1375666,8.8,2336181,8.4,108.284
ts22099,tt0976192,8.3,15867,0.0,41.509
tm27911,tt0407887,8.5,1318885,8.2,33.795
ts21464,tt0415463,6.1,16091,0.0,53.044
tm88465,tt1591095,6.8,310380,6.929,99.129
tm172683,tt0407304,6.5,449801,6.474,36.989
ts11313,tt0877057,9.0,322118,0.0,120.545
ts21247,tt1405406,7.7,321558,0.0,479.354
ts20305,tt0409591,8.4,102066,0.0,218.843
tm42877,tt0493464,6.7,390554,3.4,33.101
tm39030,tt0381061,8.0,657342,5.8,40.164
ts21511,tt1751105,7.7,21209,8.1,52.369
tm997728,,,,0.0,0.055091
ts17942,tt0353049,8.8,64994,0.0,14.116
tm89677,tt0362227,7.4,459899,7.3,21.384
tm78592,tt0465538,7.2,167226,6.0,16.97
tm105329,tt0257044,7.7,269132,4.8,18.739
ts30311,tt1604099,7.0,25670,0.0,71.494
tm139658,tt0319061,8.0,441998,4.3,21.158
tm26327,tt0887912,7.5,452520,6.0,28.341
tm95477,tt0332452,7.3,535483,7.1,48.407
tm154187,tt0988045,7.6,634276,0.0,43.297
ts22267,tt0290988,8.6,44270,0.0,22.603
tm133767,tt0314331,7.6,480555,7.1,36.484
ts2230,tt0363307,5.6,18039,7.5,14.501
tm45454,tt0425061,6.5,219317,7.1,22.421
tm26897,tt0830515,6.6,449528,0.0,31.298
tm133374,tt0878804,7.6,332977,7.661,63.663
tm195620,,,,5.1,4.147341
tm136808,tt0309698,7.3,250167,7.181,19.558
tm70807,tt0480249,7.2,757352,5.8,69.139
ts19036,tt0235918,7.2,40977,0.0,67.192
